CustomerID,Gender,Age,Date,Annual Income ($), Spends  ,Average_Spend,Purchase_Frequency,Segment,Work Experience,Family Size
51,Female,49,31/08/2022,88000," 1,692.31 "," 5,146.03 ",52,Artist,1,2
52,Male,33,16/04/2020,97000," 1,616.67 "," 5,146.03 ",60,Artist,1,2
53,Female,31,20/06/2020,74000," 1,370.37 "," 5,146.03 ",54,Artist,1,1
54,Male,59,08/01/2021,68000," 1,133.33 "," 5,146.03 ",60,Entertainment,0,2
55,Female,50,20/01/2020,18000, 400.00 ," 5,146.03 ",45,Marketing,1,1
56,Male,47,22/12/2022,95000," 2,317.07 "," 5,146.03 ",41,Artist,14,2
57,Female,51,16/02/2022,71000," 1,420.00 "," 5,146.03 ",50,Healthcare,9,4
58,Male,69,20/08/2020,8000, 173.91 ," 5,146.03 ",46,Doctor,8,2
59,Female,27,10/01/2020,57000," 1,117.65 "," 5,146.03 ",51,Artist,1,3
60,Male,53,09/09/2020,89000," 1,934.78 "," 5,146.03 ",46,Lawyer,1,6
61,Male,70,22/09/2021,84000," 1,500.00 "," 5,146.03 ",56,Artist,0,2
62,Male,19,17/07/2020,50000, 909.09 ," 5,146.03 ",55,Artist,9,2
63,Female,67,09/08/2021,50000, 961.54 ," 5,146.03 ",52,Lawyer,0,3
64,Female,54,28/09/2021,48000, 813.56 ," 5,146.03 ",59,Lawyer,1,2
65,Male,63,30/07/2022,63000," 1,235.29 "," 5,146.03 ",51,Lawyer,7,2
66,Male,18,02/03/2021,9000, 152.54 ," 5,146.03 ",59,Entertainment,0,2
67,Female,43,28/12/2021,3000, 60.00 ," 5,146.03 ",50,Doctor,0,2
68,Female,68,30/01/2021,82000," 1,708.33 "," 5,146.03 ",48,Artist,8,4
69,Male,19,28/01/2020,81000," 1,372.88 "," 5,146.03 ",59,Artist,0,4
70,Female,32,12/02/2021,97000," 2,063.83 "," 5,146.03 ",47,Homemaker,2,2
71,Male,70,02/08/2022,91000," 1,654.55 "," 5,146.03 ",55,Healthcare,8,2
72,Female,47,21/03/2022,9000, 214.29 ," 5,146.03 ",42,Entertainment,8,2
73,Female,60,17/06/2021,44000, 897.96 ," 5,146.03 ",49,Artist,0,5
74,Female,60,31/05/2021,10000, 178.57 ," 5,146.03 ",56,Healthcare,8,4
75,Male,59,10/06/2021,89000," 1,893.62 "," 5,146.03 ",47,Artist,0,4
76,Male,26,30/11/2020,49000, 907.41 ," 5,146.03 ",54,Homemaker,0,3
77,Female,45,16/01/2021,67000," 1,264.15 "," 5,146.03 ",53,Doctor,0,2
78,Male,40,27/04/2020,99000," 2,062.50 "," 5,146.03 ",48,Artist,4,3
79,Female,23,13/06/2022,97000," 1,865.38 "," 5,146.03 ",52,Engineer,2,2
80,Female,49,06/02/2022,98000," 2,333.33 "," 5,146.03 ",42,Artist,1,1
81,Male,57,19/06/2022,52000," 1,019.61 "," 5,146.03 ",51,Healthcare,0,4
82,Male,38,13/05/2022,61000," 1,109.09 "," 5,146.03 ",55,Healthcare,6,3
83,Male,67,09/01/2022,120000," 2,926.83 "," 5,146.03 ",41,Artist,8,1
84,Female,46,12/07/2022,34000, 772.73 ," 5,146.03 ",44,Entertainment,8,4
85,Female,21,18/08/2022,24000, 421.05 ," 5,146.03 ",57,Marketing,1,3
86,Male,48,30/12/2021,31000, 673.91 ," 5,146.03 ",46,Healthcare,7,5
87,Female,55,25/10/2020,11000, 189.66 ," 5,146.03 ",58,Artist,0,3
88,Female,22,02/02/2022,55000," 1,000.00 "," 5,146.03 ",55,Artist,5,2
89,Female,34,19/12/2022,76000," 1,266.67 "," 5,146.03 ",60,Entertainment,7,3
90,Female,50,30/12/2020,56000," 1,217.39 "," 5,146.03 ",46,Doctor,0,2
91,Female,68,19/01/2021,46000, 836.36 ," 5,146.03 ",55,Entertainment,0,3
92,Male,18,01/10/2022,36000, 878.05 ," 5,146.03 ",41,Artist,1,4
93,Male,48,21/10/2020,88000," 1,795.92 "," 5,146.03 ",49,Artist,1,2
94,Female,40,03/08/2020,31000, 775.00 ," 5,146.03 ",40,Entertainment,1,2
95,Female,32,11/08/2021,24000, 571.43 ," 5,146.03 ",42,Artist,0,1
96,Male,24,14/03/2021,80000," 1,538.46 "," 5,146.03 ",52,Artist,10,1
97,Female,47,26/03/2022,2000, 42.55 ," 5,146.03 ",47,Artist,0,1
98,Female,27,15/09/2021,67000," 1,340.00 "," 5,146.03 ",50,Artist,0,2
99,Male,48,28/09/2020,58000," 1,380.95 "," 5,146.03 ",42,Doctor,1,2
100,Male,20,13/02/2021,80000," 1,632.65 "," 5,146.03 ",49,Engineer,3,3
101,Female,23,28/03/2021,65000," 1,585.37 "," 5,146.03 ",41,Artist,0,4
102,Female,49,16/04/2022,4000, 83.33 ," 5,146.03 ",48,Executive,1,7
103,Male,67,01/02/2021,98000," 1,661.02 "," 5,146.03 ",59,Artist,0,3
104,Male,26,04/11/2020,52000, 945.45 ," 5,146.03 ",55,Executive,0,5
105,Male,49,09/03/2021,86000," 1,535.71 "," 5,146.03 ",56,Healthcare,10,2
106,Female,21,13/10/2020,82000," 1,952.38 "," 5,146.03 ",42,Doctor,1,2
107,Female,66,22/09/2021,43000, 860.00 ," 5,146.03 ",50,Homemaker,3,2
108,Male,54,23/07/2020,78000," 1,695.65 "," 5,146.03 ",46,Lawyer,1,1
109,Male,68,13/06/2021,13000, 302.33 ," 5,146.03 ",43,Healthcare,6,5
110,Male,66,07/02/2021,13000, 270.83 ," 5,146.03 ",48,Healthcare,9,3
111,Male,65,21/02/2020,34000, 653.85 ," 5,146.03 ",52,Entertainment,4,4
112,Female,19,21/12/2020,25000, 462.96 ," 5,146.03 ",54,Artist,0,1
113,Female,38,24/02/2022,71000," 1,690.48 "," 5,146.03 ",42,Doctor,1,5
114,Male,19,31/10/2022,2000, 43.48 ," 5,146.03 ",46,Artist,1,1
115,Female,18,16/10/2022,97000," 2,020.83 "," 5,146.03 ",48,Executive,0,3
116,Female,19,04/06/2020,51000," 1,020.00 "," 5,146.03 ",50,Executive,8,4
117,Female,63,02/11/2020,9000, 209.30 ," 5,146.03 ",43,Lawyer,1,1
118,Female,49,18/10/2022,79000," 1,338.98 "," 5,146.03 ",59,Artist,0,2
119,Female,51,09/05/2020,84000," 1,953.49 "," 5,146.03 ",43,Artist,2,7
120,Female,50,08/10/2021,87000," 1,526.32 "," 5,146.03 ",57,Artist,1,2
121,Male,27,17/05/2020,36000, 642.86 ," 5,146.03 ",56,Executive,0,3
122,Female,38,15/09/2020,50000," 1,250.00 "," 5,146.03 ",40,Executive,1,4
123,Female,40,22/12/2021,97000," 1,672.41 "," 5,146.03 ",58,Engineer,9,4
124,Male,39,28/05/2021,6000, 65.93 ," 5,146.03 ",91,Healthcare,1,3
125,Female,23,21/12/2021,12000, 413.79 ," 5,146.03 ",29,Entertainment,9,2
126,Female,31,14/12/2022,46000, 597.40 ," 5,146.03 ",77,Marketing,1,2
127,Male,43,22/08/2020,89000," 2,542.86 "," 5,146.03 ",35,Engineer,0,7
128,Male,40,05/11/2021,4000, 42.11 ," 5,146.03 ",95,Artist,0,2
129,Male,59,20/03/2022,38000," 3,454.55 "," 5,146.03 ",11,Engineer,0,2
130,Male,38,13/03/2022,64000, 853.33 ," 5,146.03 ",75,Entertainment,8,5
131,Male,47,17/12/2020,66000," 7,333.33 "," 5,146.03 ",9,Executive,9,5
132,Male,39,20/10/2021,26000, 346.67 ," 5,146.03 ",75,Lawyer,0,2
133,Female,25,26/03/2022,41000," 1,205.88 "," 5,146.03 ",34,Healthcare,6,4
134,Female,31,07/03/2021,45000, 633.80 ," 5,146.03 ",71,Artist,5,1
135,Male,20,05/11/2020,89000," 17,800.00 "," 5,146.03 ",5,Engineer,1,2
136,Female,29,01/03/2021,92000," 1,045.45 "," 5,146.03 ",88,Executive,5,5
137,Female,44,28/06/2021,76000," 10,857.14 "," 5,146.03 ",7,Artist,5,2
138,Male,32,12/12/2021,85000," 1,164.38 "," 5,146.03 ",73,Artist,3,4
139,Male,19,02/05/2021,22000," 2,200.00 "," 5,146.03 ",10,Marketing,8,4
140,Female,35,02/10/2020,15000, 208.33 ," 5,146.03 ",72,Artist,4,4
141,Female,57,05/04/2020,32000," 6,400.00 "," 5,146.03 ",5,Engineer,0,2
142,Male,32,14/10/2020,66000, 709.68 ," 5,146.03 ",93,Artist,0,5
143,Female,28,18/05/2022,62000," 1,550.00 "," 5,146.03 ",40,Doctor,5,3
144,Female,32,07/07/2020,85000, 977.01 ," 5,146.03 ",87,Lawyer,1,2
145,Male,25,17/07/2021,71000," 5,916.67 "," 5,146.03 ",12,Engineer,0,5
146,Male,28,01/05/2022,26000, 268.04 ," 5,146.03 ",97,Marketing,8,5
147,Male,48,13/03/2021,52000," 1,444.44 "," 5,146.03 ",36,Engineer,9,2
148,Female,32,16/10/2021,38000, 513.51 ," 5,146.03 ",74,Lawyer,1,1
149,Female,34,09/02/2021,51000," 2,318.18 "," 5,146.03 ",22,Healthcare,7,4
150,Male,34,12/10/2022,90000," 1,000.00 "," 5,146.03 ",90,Artist,6,3
151,Male,43,23/07/2020,30000," 1,764.71 "," 5,146.03 ",17,Lawyer,0,9
152,Male,39,03/03/2022,41000, 465.91 ," 5,146.03 ",88,Engineer,0,1
153,Female,44,17/10/2022,17000, 850.00 ," 5,146.03 ",20,Engineer,0,2
154,Female,38,27/08/2022,92000," 1,210.53 "," 5,146.03 ",76,Artist,2,2
155,Female,47,18/02/2021,80000," 5,000.00 "," 5,146.03 ",16,Healthcare,0,4
156,Female,27,06/07/2020,10000, 112.36 ," 5,146.03 ",89,Marketing,8,4
157,Male,37,26/06/2020,16000," 16,000.00 "," 5,146.03 ",1,Executive,1,1
158,Female,30,10/10/2022,87000," 1,115.38 "," 5,146.03 ",78,Artist,3,4
159,Male,34,12/01/2021,66000," 66,000.00 "," 5,146.03 ",1,Lawyer,1,2
160,Female,30,16/09/2020,86000," 1,178.08 "," 5,146.03 ",73,Artist,3,3
161,Female,56,28/03/2022,9000, 257.14 ," 5,146.03 ",35,Artist,1,1
162,Female,29,27/09/2020,50000, 602.41 ," 5,146.03 ",83,Healthcare,1,5
163,Male,19,04/01/2021,35000," 7,000.00 "," 5,146.03 ",5,Executive,0,5
164,Female,31,29/12/2022,58000, 623.66 ," 5,146.03 ",93,Healthcare,1,5
165,Male,50,26/12/2021,47000," 1,807.69 "," 5,146.03 ",26,Doctor,0,2
166,Female,36,16/03/2022,54000, 720.00 ," 5,146.03 ",75,Artist,5,3
167,Male,42,22/07/2020,79000," 3,950.00 "," 5,146.03 ",20,Homemaker,9,3
168,Female,33,26/06/2020,83000, 873.68 ," 5,146.03 ",95,Artist,0,5
169,Female,36,20/06/2020,57000," 2,111.11 "," 5,146.03 ",27,Artist,0,3
170,Male,32,15/06/2020,34000, 539.68 ," 5,146.03 ",63,Artist,2,2
171,Male,40,28/07/2022,69000," 5,307.69 "," 5,146.03 ",13,Artist,3,5
172,Male,28,15/12/2022,4000, 53.33 ," 5,146.03 ",75,Executive,0,2
173,Male,36,07/08/2022,79000," 7,900.00 "," 5,146.03 ",10,Lawyer,0,2
174,Male,36,15/11/2022,99000," 1,076.09 "," 5,146.03 ",92,Artist,5,2
175,Female,52,07/07/2021,20000," 1,538.46 "," 5,146.03 ",13,Lawyer,0,2
176,Female,30,05/08/2022,28000, 325.58 ," 5,146.03 ",86,Artist,3,4
177,Male,58,07/03/2022,29000," 1,933.33 "," 5,146.03 ",15,Engineer,11,1
178,Male,27,21/03/2022,45000, 652.17 ," 5,146.03 ",69,Healthcare,2,6
179,Male,59,10/12/2021,86000," 6,142.86 "," 5,146.03 ",14,Healthcare,4,3
180,Male,35,16/09/2020,42000, 466.67 ," 5,146.03 ",90,Engineer,8,1
181,Female,37,03/12/2021,59000," 1,843.75 "," 5,146.03 ",32,Artist,7,2
182,Female,32,11/02/2021,61000, 709.30 ," 5,146.03 ",86,Entertainment,7,5
183,Male,46,21/12/2022,11000, 733.33 ," 5,146.03 ",15,Artist,7,1
184,Female,29,04/08/2021,66000, 750.00 ," 5,146.03 ",88,Artist,4,4
185,Female,41,21/10/2021,39000," 1,000.00 "," 5,146.03 ",39,Artist,1,1
186,Male,30,06/03/2021,72000, 742.27 ," 5,146.03 ",97,Artist,6,2
187,Female,54,10/09/2020,14000, 583.33 ," 5,146.03 ",24,Lawyer,1,2
188,Male,28,17/10/2020,44000, 647.06 ," 5,146.03 ",68,Doctor,5,3
189,Female,41,29/10/2021,76000," 4,470.59 "," 5,146.03 ",17,Engineer,8,2
190,Female,36,26/07/2021,95000," 1,117.65 "," 5,146.03 ",85,Artist,4,2
191,Female,34,16/11/2022,92000," 4,000.00 "," 5,146.03 ",23,Artist,5,3
192,Female,32,26/01/2021,98000," 1,420.29 "," 5,146.03 ",69,Artist,8,2
193,Male,33,15/03/2021,96000," 12,000.00 "," 5,146.03 ",8,Executive,9,2
194,Female,38,07/07/2022,45000, 494.51 ," 5,146.03 ",91,Artist,10,4
195,Female,47,18/08/2020,8000, 500.00 ," 5,146.03 ",16,Artist,7,2
196,Female,35,18/10/2021,46000, 582.28 ," 5,146.03 ",79,Executive,1,3
197,Female,45,10/06/2021,78000," 2,785.71 "," 5,146.03 ",28,Artist,0,2
198,Male,32,16/01/2021,4000, 54.05 ," 5,146.03 ",74,Artist,1,5
199,Male,32,17/05/2020,81000," 4,500.00 "," 5,146.03 ",18,Executive,1,2
200,Male,30,02/09/2022,33000, 397.59 ," 5,146.03 ",83,Artist,4,2
201,Female,21,11/12/2022,40000," 4,000.00 "," 5,146.03 ",10,Healthcare,0,3
202,Male,34,22/02/2021,85000," 5,312.50 "," 5,146.03 ",16,Healthcare,9,3
203,Female,16,23/04/2022,60000, 625.00 ," 5,146.03 ",96,Engineer,6,8
204,Female,76,03/06/2020,60000," 1,538.46 "," 5,146.03 ",39,Healthcare,4,2
205,Female,62,01/10/2022,63000," 1,067.80 "," 5,146.03 ",59,Entertainment,0,2
206,Female,63,26/05/2022,10000, 192.31 ," 5,146.03 ",52,Healthcare,8,3
207,Female,19,30/01/2020,55000, 901.64 ," 5,146.03 ",61,Healthcare,0,3
208,Male,46,06/08/2021,93000," 7,750.00 "," 5,146.03 ",12,Artist,2,1
209,Female,48,29/05/2021,15000," 2,142.86 "," 5,146.03 ",7,Doctor,0,2
210,Female,80,31/12/2022,39000," 1,181.82 "," 5,146.03 ",33,Engineer,9,4
211,Female,1,17/09/2020,57000, 612.90 ," 5,146.03 ",93,Engineer,1,2
212,Female,0,06/07/2022,22000, 239.13 ," 5,146.03 ",92,Artist,2,1
213,Male,86,16/07/2022,12000, 171.43 ," 5,146.03 ",70,Marketing,2,4
214,Male,49,08/07/2021,50000, 609.76 ," 5,146.03 ",82,Lawyer,8,1
215,Male,48,03/11/2022,95000," 1,397.06 "," 5,146.03 ",68,Doctor,2,4
216,Female,46,24/02/2020,66000, 942.86 ," 5,146.03 ",70,Healthcare,3,3
217,Male,79,12/11/2020,20000, 500.00 ," 5,146.03 ",40,Doctor,6,2
218,Female,83,18/12/2020,35000, 353.54 ," 5,146.03 ",99,Doctor,8,2
219,Female,66,26/09/2021,71000," 2,088.24 "," 5,146.03 ",34,Executive,9,2
220,Female,59,25/02/2020,76000," 1,245.90 "," 5,146.03 ",61,Artist,9,1
221,Female,39,23/06/2020,84000," 2,545.45 "," 5,146.03 ",33,Artist,5,3
222,Female,95,14/06/2022,72000," 1,411.76 "," 5,146.03 ",51,Engineer,4,2
223,Male,43,09/04/2021,33000, 600.00 ," 5,146.03 ",55,Artist,4,3
224,Female,93,16/12/2021,93000," 2,513.51 "," 5,146.03 ",37,Healthcare,1,5
225,Female,40,17/09/2022,83000," 1,729.17 "," 5,146.03 ",48,Homemaker,4,1
226,Female,78,12/08/2022,23000," 2,875.00 "," 5,146.03 ",8,Engineer,1,1
227,Female,25,25/02/2022,40000, 519.48 ," 5,146.03 ",77,Artist,5,4
228,Male,76,08/10/2022,89000," 1,034.88 "," 5,146.03 ",86,Healthcare,9,4
229,Male,0,09/12/2021,33000, 515.63 ," 5,146.03 ",64,Marketing,1,1
230,Male,15,25/10/2020,94000," 3,133.33 "," 5,146.03 ",30,Healthcare,7,2
231,Female,6,19/02/2022,93000," 1,754.72 "," 5,146.03 ",53,Lawyer,8,2
232,Male,84,13/11/2021,7000, 250.00 ," 5,146.03 ",28,Healthcare,0,4
233,Female,67,09/02/2022,18000, 204.55 ," 5,146.03 ",88,Lawyer,0,2
234,Female,78,04/10/2020,3000, 214.29 ," 5,146.03 ",14,Healthcare,0,4
235,Female,4,16/01/2021,84000," 1,555.56 "," 5,146.03 ",54,Artist,9,1
236,Female,29,08/03/2022,62000," 1,823.53 "," 5,146.03 ",34,Healthcare,0,4
237,Male,91,30/10/2020,9000, 93.75 ," 5,146.03 ",96,Healthcare,1,5
238,Male,95,31/08/2020,36000," 1,028.57 "," 5,146.03 ",35,Artist,0,4
239,Male,55,26/06/2022,37000, 500.00 ," 5,146.03 ",74,Lawyer,1,4
240,Female,14,11/06/2021,50000," 4,545.45 "," 5,146.03 ",11,Artist,1,2
241,Male,92,23/01/2022,83000," 5,187.50 "," 5,146.03 ",16,Executive,1,5
242,Female,65,26/06/2020,79000," 4,647.06 "," 5,146.03 ",17,Artist,0,3
243,Female,84,08/12/2022,40000," 2,857.14 "," 5,146.03 ",14,Healthcare,1,4
244,Female,77,25/06/2021,47000, 810.34 ," 5,146.03 ",58,Artist,0,6
245,Female,53,20/04/2020,4000, 200.00 ," 5,146.03 ",20,Artist,0,4
246,Female,28,10/10/2021,38000, 506.67 ," 5,146.03 ",75,Entertainment,7,2
247,Male,23,20/05/2021,25000, 260.42 ," 5,146.03 ",96,Doctor,1,3
248,Female,32,16/05/2020,7000, 437.50 ," 5,146.03 ",16,Artist,1,2
249,Female,37,06/06/2020,41000," 20,500.00 "," 5,146.03 ",2,Artist,1,2
250,Female,89,18/01/2021,65000," 1,031.75 "," 5,146.03 ",63,Engineer,4,5
251,Male,80,14/10/2021,20000, 215.05 ," 5,146.03 ",93,Engineer,1,3
252,Female,27,10/02/2022,44000, 676.92 ," 5,146.03 ",65,Doctor,8,1
253,Female,78,30/01/2021,3000, 214.29 ," 5,146.03 ",14,Artist,5,4
254,Female,86,12/08/2022,72000," 5,538.46 "," 5,146.03 ",13,Lawyer,7,3
255,Female,46,20/04/2022,27000, 843.75 ," 5,146.03 ",32,Engineer,4,4
256,Male,59,10/09/2022,85000," 1,734.69 "," 5,146.03 ",49,Lawyer,4,2
257,Male,12,16/11/2021,38000," 2,111.11 "," 5,146.03 ",18,Executive,10,1
258,Male,79,26/07/2022,73000, 760.42 ," 5,146.03 ",96,Homemaker,6,7
259,Female,79,26/01/2020,64000," 1,000.00 "," 5,146.03 ",64,Artist,2,3
260,Male,26,08/04/2020,26000, 433.33 ," 5,146.03 ",60,Executive,6,4
261,Female,63,09/10/2021,47000," 2,937.50 "," 5,146.03 ",16,Artist,2,3
262,Female,52,04/01/2021,35000, 411.76 ," 5,146.03 ",85,Doctor,2,6
263,Female,32,24/11/2021,31000," 1,291.67 "," 5,146.03 ",24,Lawyer,2,3
264,Female,64,17/11/2021,13000, 342.11 ," 5,146.03 ",38,Engineer,3,4
265,Female,37,16/02/2022,79000," 7,900.00 "," 5,146.03 ",10,Homemaker,1,7
266,Male,7,23/09/2020,82000," 2,102.56 "," 5,146.03 ",39,Entertainment,2,2
267,Female,40,28/01/2022,28000, 411.76 ," 5,146.03 ",68,Artist,1,1
268,Female,78,16/04/2021,36000, 455.70 ," 5,146.03 ",79,Artist,0,3
269,Female,34,18/09/2022,8000, 105.26 ," 5,146.03 ",76,Entertainment,6,6
270,Female,52,03/08/2021,88000," 2,256.41 "," 5,146.03 ",39,Artist,1,2
271,Male,94,03/09/2022,91000," 2,527.78 "," 5,146.03 ",36,Entertainment,0,4
272,Female,1,20/09/2022,12000, 146.34 ," 5,146.03 ",82,Doctor,0,3
273,Female,96,14/01/2022,1000, 13.16 ," 5,146.03 ",76,Entertainment,0,3
274,Female,18,07/02/2020,143000," 1,444.44 "," 5,146.03 ",99,Artist,0,2
275,Female,37,10/05/2022,18000, 315.79 ," 5,146.03 ",57,Artist,1,2
276,Male,78,08/02/2020,65000, 730.34 ," 5,146.03 ",89,Lawyer,1,2
277,Male,16,07/11/2022,9000, 102.27 ," 5,146.03 ",88,Executive,7,4
278,Male,93,08/05/2021,95000," 4,523.81 "," 5,146.03 ",21,Artist,1,1
279,Female,74,25/01/2021,78000," 6,500.00 "," 5,146.03 ",12,Engineer,9,3
280,Male,68,02/04/2022,48000, 657.53 ," 5,146.03 ",73,Healthcare,3,3
281,Female,32,11/07/2021,63000, 724.14 ," 5,146.03 ",87,Executive,1,4
282,Female,43,29/10/2022,85000," 1,349.21 "," 5,146.03 ",63,Marketing,1,2
283,Female,52,03/03/2020,43000, 741.38 ," 5,146.03 ",58,Artist,1,3
284,Female,63,23/02/2020,74000," 3,700.00 "," 5,146.03 ",20,Artist,1,2
285,Female,33,07/04/2021,67000," 6,090.91 "," 5,146.03 ",11,Healthcare,0,1
286,Male,86,10/06/2022,59000," 1,475.00 "," 5,146.03 ",40,Artist,0,1
287,Female,85,24/05/2022,140000," 1,666.67 "," 5,146.03 ",84,Entertainment,1,1
288,Female,73,25/02/2021,31000, 659.57 ," 5,146.03 ",47,Healthcare,1,2
289,Female,21,19/07/2020,5000, 54.95 ," 5,146.03 ",91,Marketing,0,1
290,Female,93,15/12/2021,19000, 327.59 ," 5,146.03 ",58,Engineer,1,3
291,Male,9,19/06/2022,27000, 435.48 ," 5,146.03 ",62,Entertainment,7,1
292,Female,10,06/01/2022,68000, 850.00 ," 5,146.03 ",80,Doctor,6,3
293,Male,11,29/11/2020,38000, 575.76 ," 5,146.03 ",66,Artist,8,8
294,Female,48,08/07/2020,50000," 1,388.89 "," 5,146.03 ",36,Engineer,6,4
295,Female,73,11/11/2021,80000," 1,095.89 "," 5,146.03 ",73,Entertainment,2,2
296,Female,66,29/04/2020,69000," 1,604.65 "," 5,146.03 ",43,Executive,9,3
297,Female,79,10/03/2022,31000, 340.66 ," 5,146.03 ",91,Engineer,3,3
298,Male,62,14/07/2022,87000," 2,121.95 "," 5,146.03 ",41,Doctor,6,2
299,Male,17,07/01/2022,79000," 4,937.50 "," 5,146.03 ",16,Artist,1,3
300,Male,32,13/02/2020,32000, 372.09 ," 5,146.03 ",86,Entertainment,5,2
301,Male,85,14/07/2020,153787," 1,537.87 "," 5,146.03 ",100,Entertainment,3,3
302,Male,31,29/08/2022,95851," 5,990.69 "," 5,146.03 ",16,Healthcare,5,2
303,Female,31,06/07/2022,145015," 1,986.51 "," 5,146.03 ",73,Healthcare,6,3
304,Female,38,19/11/2021,148539," 21,219.86 "," 5,146.03 ",7,Healthcare,5,2
305,Female,90,24/11/2020,117319," 5,586.62 "," 5,146.03 ",21,Lawyer,1,2
306,Female,65,30/09/2020,180243," 6,932.42 "," 5,146.03 ",26,Marketing,6,2
307,Female,63,24/08/2020,165052," 13,754.33 "," 5,146.03 ",12,Artist,4,2
308,Female,61,14/11/2020,120487," 8,606.21 "," 5,146.03 ",14,Doctor,0,2
